# Words removed for being too plain or generic (2026-09-17).
# Not used by the game. Move a line back into scripts/words/ to restore it.
abdicate | verb | To renounce one's throne; to fail to fulfill a duty.
journalism | noun | The activity of writing for newspapers, magazines, or news websites.
junk | noun | Old or discarded articles; a flat-bottomed Chinese sailing vessel.
juror | noun | A member of a jury.
kale | noun | A hardy cabbage with curly leaves.
kerosene | noun | A light fuel oil.
kettle | noun | A container for boiling water.
keyboard | noun | A panel of keys operating a computer or typewriter; a musical instrument.
keychain | noun | A chain or ring on which keys are kept.
kilowatt | noun | A measure of 1,000 watts of electrical power.
kindergarten | noun | A school or class for young children.
kiosk | noun | A small open-fronted hut or cubicle from which goods are sold.
kite | noun | A frame covered with material, flown in the wind on a string.
kiwi | noun | A flightless New Zealand bird; a fuzzy fruit.
kneecap | noun | The convex bone in front of the knee joint.
knuckle | noun | A part of a finger at a joint.
ladle | noun | A large long-handled spoon with a cup-shaped bowl.
lame | adjective | Unable to walk normally; uncool or unconvincing (slang).
lampshade | noun | A cover for a lamp to soften its light.
lance | noun | A long weapon for thrusting, used by a horseman.
landmark | noun | An object or feature easily seen and recognized from a distance; an important event.
lantern | noun | A lamp with a transparent case protecting the flame.
lark | noun | A songbird; something done for fun.
latex | noun | A milky fluid from plants; a synthetic rubber.
lathe | noun | A machine for shaping wood or metal by rotating it against a tool.
latin | noun | The language of ancient Rome.
lava | noun | Hot molten rock erupted from a volcano.
lavender | noun | A small aromatic plant with purple flowers; a pale purple color.
lawnmower | noun | A machine for cutting grass.
layoff | noun | A discharge of workers.
leech | noun | A bloodsucking worm; a person who exploits others.
leggings | noun | Close-fitting stretchy trousers.
lemon | noun | A yellow oval citrus fruit with acidic juice; a defective product.
lemonade | noun | A drink made from lemon juice and sweetened water.
lethal | adjective | Sufficient to cause death.
letterhead | noun | A printed heading on stationery.
lettuce | noun | A cultivated plant whose leaves are eaten in salads.
lever | noun | A rigid bar resting on a pivot, used to move a heavy load.
lexicon | noun | The vocabulary of a person, language, or branch of knowledge.
liberalism | noun | A political philosophy favoring individual liberty and free markets.
librarian | noun | A person in charge of or assisting in a library.
lifeguard | noun | A person employed to rescue swimmers in difficulty.
lightning | noun | A high-voltage natural electrical discharge in the atmosphere.
limbo | noun | An uncertain period of awaiting a decision; a West Indian dance.
limo | noun | A limousine.
limp | adjective | Lacking internal strength or structure; walking with difficulty.
linen | noun | Cloth woven from flax; household articles made of it.
lobby | noun | A room providing a space out of which other rooms lead.
logic | noun | Reasoning conducted according to strict principles of validity.
login | noun | The process of logging in to a computer system.
logo | noun | A symbol adopted by an organization to identify its products.
loiter | verb | To stand or wait around idly without apparent purpose.
lol | exclamation | Laughing out loud.
loneliness | noun | Sadness because one has no friends or company.
loner | noun | A person who prefers to be alone.
loom | noun | An apparatus for making fabric by weaving yarn.
loot | noun | Goods stolen in war or by thieves.
lotus | noun | A large water lily.
lousy | adjective | Very poor or bad; infested with lice.
lubricant | noun | A substance for minimizing friction.
luggage | noun | Suitcases or other bags for a traveler's belongings.
lumber | verb | To move in a slow, heavy, awkward way.
lumpy | adjective | Full of or covered with lumps.
lunatic | noun | A person who is mentally ill (dated); an extremely foolish person.
lungs | noun | The pair of organs in the chest used for breathing.
lurk | verb | To be present in a latent or barely discernible state; to wait in hiding.
mace | noun | A heavy club with a spiked metal head; a ceremonial staff.
machinist | noun | A person who operates a machine.
magazine | noun | A periodical publication; a chamber for holding cartridges in a gun.
magnet | noun | A piece of iron that attracts iron objects.
magnificent | adjective | Impressively beautiful, elaborate, or extravagant.
magnifier | noun | A lens that makes things appear larger.
makeover | noun | A complete transformation of appearance.
mallet | noun | A hammer with a large wooden head.
malt | noun | Barley or other grain that has been steeped, germinated, and dried.
manager | noun | A person responsible for controlling or administering an organization.
maple | noun | A tree whose sap is used to make syrup.
marble | noun | A hard crystalline metamorphic limestone; a small glass ball.
marbles | noun | A game played with small glass balls; one's mental faculties.
marketing | noun | The action of promoting and selling products or services.
maroon | verb | To leave someone trapped and isolated in an inaccessible place.
marsh | noun | An area of low-lying land that is flooded in wet seasons.
mason | noun | A builder and worker in stone.
masterpiece | noun | A work of outstanding artistry, skill, or workmanship.
mattress | noun | A fabric case filled with soft material, used on a bed.
meadow | noun | A piece of grassland, especially one used for hay.
meditation | noun | The action of focusing one's mind for a period of time.
megawatt | noun | A unit of power equal to one million watts.
melancholy | noun | A deep, pensive, and long-lasting sadness.
memo | noun | A written message in business.
memoir | noun | A historical account or biography written from personal knowledge.
mercury | noun | A heavy silvery liquid metal.
merger | noun | A combination of two things, especially companies, into one.
metabolism | noun | The chemical processes that maintain life.
metaphor | noun | A figure of speech applying a word to something it does not literally denote.
microprocessor | noun | An integrated circuit containing the functions of a central processing unit.
microscope | noun | An optical instrument for viewing very small objects.
midwife | noun | A person trained to assist women in childbirth.
milestone | noun | A stone marking distance; a significant stage or event.
milestone | noun | An action or event marking a significant change or stage.
millennium | noun | A period of a thousand years.
millionaire | noun | A person whose assets are worth one million or more.
mindset | noun | The established set of attitudes held by someone.
minivan | noun | A small van designed for passengers.
mint | noun | A place where money is coined; an aromatic plant.
mole | noun | A small burrowing mammal; a small dark blemish on the skin; a spy.
molecule | noun | A group of atoms bonded together.
mollusk | noun | An invertebrate of a phylum including snails, slugs, and octopuses.
monarchy | noun | A form of government with a king or queen at its head.
monastery | noun | A building occupied by a community of monks.
monk | noun | A member of a religious community of men.
monopoly | noun | Exclusive control of a trade; a trademarked property board game.
moody | adjective | Given to unpredictable changes of mood; gloomy.
moonlight | noun | The light of the moon.
moor | noun | A tract of open uncultivated upland.
moped | noun | A light motorcycle with pedals.
mortgage | noun | A legal agreement by which a bank lends money against a property.
mosquito | noun | A slender insect whose female sucks blood.
motel | noun | A roadside hotel designed for motorists.
moth | noun | A nocturnal insect related to butterflies.
mothball | noun | A small ball of naphthalene placed with stored clothes to deter moths.
motherboard | noun | A printed circuit board containing the principal components of a computer.
motherhood | noun | The state of being a mother.
motif | noun | A decorative design or pattern; a dominant theme.
motor | noun | A machine that supplies motive power.
motorcycle | noun | A two-wheeled motor vehicle.
mouse | noun | A small rodent; a handheld device for controlling a computer cursor.
muffin | noun | A small domed cake or quick bread.
mug | noun | A large cup; a face (slang); to attack and rob.
mule | noun | The offspring of a donkey and a horse; a person who smuggles drugs.
multimedia | noun | Using more than one medium of expression or communication.
multitasking | noun | Dealing with more than one task at the same time.
mumble | verb | To say something indistinctly and quietly.
mummy | noun | An embalmed and wrapped body.
mundane | adjective | Lacking interest or excitement; dull.
muse | verb | To be absorbed in thought.
mushroom | noun | A fungal growth with a domed cap; to increase rapidly.
musical | noun | A play or film in which singing and dancing play an essential part.
mustard | noun | A hot-tasting yellow or brown paste made from seeds.
mutter | verb | To say something in a low or barely audible voice.
myriad | noun | A countless or extremely great number.
nab | verb | To catch someone doing something wrong.
nabbed | verb | Caught or arrested.
naive | adjective | Showing a lack of experience, wisdom, or judgment.
nanny | noun | A woman employed to care for a child in its own home.
nanometer | noun | One billionth of a meter.
nary | adjective | Not any; no.
naught | pronoun | Nothing.
naughty | adjective | Badly behaved, especially of children.
nausea | noun | A feeling of sickness with an inclination to vomit.
nauseous | adjective | Affected with nausea; causing nausea.
navel | noun | A rounded knotty depression in the center of a person's belly.
neurology | noun | The branch of medicine dealing with the nervous system.
newborn | noun | A recently born child or animal.
newscaster | noun | A person who reads the news on television or radio.
newsletter | noun | A bulletin issued periodically to members of a group.
newspaper | noun | A printed publication containing news.
newsroom | noun | The area in a newspaper office where news is prepared.
newsstand | noun | A stand from which newspapers are sold.
nibble | verb | To take small bites out of something.
nigh | adverb | Near; nearly.
nightclub | noun | A club open at night for drinking and dancing.
nightmare | noun | A frightening or unpleasant dream.
noodle | noun | A strip of pasta; a person's head.
nostril | noun | Either of two external openings of the nose.
notary | noun | A person authorized to witness the signing of documents.
nuclear | adjective | Relating to the nucleus of an atom; relating to nuclear weapons.
nun | noun | A member of a religious community of women.
nursery | noun | A room in a house for a young child; a place where plants are grown.
oatmeal | noun | Meal made from ground oats; porridge.
obesity | noun | The condition of being grossly overweight.
obituary | noun | A notice of a death in a newspaper.
obliterate | verb | To destroy utterly; to wipe out.
obnoxious | adjective | Extremely unpleasant.
offline | adjective | Not connected to a computer network.
offshoot | noun | A side shoot on a plant; a thing that develops from something else.
oft | adverb | Often.
omelet | noun | A dish of beaten eggs cooked in a frying pan.
online | adjective | Connected to or available through a computer network.
optimism | noun | Hopefulness and confidence about the future.
orchard | noun | A piece of enclosed land planted with fruit trees.
organist | noun | A person who plays the organ.
outlaw | noun | A person who has broken the law, especially one who remains at large.
outpost | noun | A small military camp or remote settlement.
outsourcing | noun | Obtaining goods or services from an outside supplier.
overalls | noun | A loose-fitting garment worn over ordinary clothes for protection.
overtime | noun | Time worked in addition to one's normal working hours.
oyster | noun | A bivalve mollusk, some of which produce pearls.
pajamas | noun | Loose-fitting sleepwear.
pamphlet | noun | A small booklet or leaflet containing information about a single subject.
pancake | noun | A thin, flat cake of batter fried on both sides.
pancreas | noun | A large gland behind the stomach that secretes digestive enzymes.
paperclip | noun | A piece of bent wire used for holding sheets of paper together.
paperweight | noun | A small heavy object for keeping loose papers in place.
paperwork | noun | Routine work involving written documents.
parade | noun | A public procession celebrating a special day or event.
paradigm | noun | A typical example or pattern; a model.
paradox | noun | A seemingly absurd statement that may prove to be true.
paranoia | noun | Unjustified suspicion and mistrust of other people.
parenting | noun | The activity of bringing up a child as a parent.
parlance | noun | A particular way of speaking or using words.
parrot | noun | A tropical bird with a hooked bill that can mimic speech.
passport | noun | An official document certifying identity and citizenship for foreign travel.
password | noun | A secret word or phrase that must be used to gain admission.
pasta | noun | A dish made from dough of durum wheat and water.
pastel | adjective | Of a soft and delicate shade of a color.
pastry | noun | Dough of flour, fat, and water, used as a base for baked goods.
pathology | noun | The study of diseases.
patio | noun | A paved outdoor area adjoining a house.
patty | noun | A small flat cake of minced food.
paycheck | noun | A check for salary or wages.
payroll | noun | A list of a company's employees and the amount of money they are paid.
peanut | noun | An oval seed of a South American plant, eaten as a snack.
pearl | noun | A hard, lustrous spherical mass formed within a mollusk shell.
pecan | noun | A smooth pinkish-brown nut.
peculiar | adjective | Strange or odd; unusual.
periodical | noun | A magazine or newspaper published at regular intervals.
persona | noun | The aspect of someone's character presented to others.
pessimism | noun | A tendency to see the worst aspect of things.
petroleum | noun | A liquid mixture of hydrocarbons present in rock strata.
pharmacist | noun | A person qualified to prepare and dispense drugs.
pharmacy | noun | A store where medicinal drugs are dispensed and sold.
phobia | noun | An extreme or irrational fear of something.
photocopy | noun | A photographic copy of printed or written material.
photographer | noun | A person who takes photographs.
pickle | noun | A small cucumber preserved in vinegar or brine; a difficult situation.
picnic | noun | An outing that includes a packed meal eaten outdoors.
pigeon | noun | A stout seed- or fruit-eating bird with a small head.
pilgrim | noun | A person who journeys to a sacred place for religious reasons.
pimple | noun | A small hard inflamed spot on the skin.
pioneer | noun | A person among the first to explore or settle a new region.
pistol | noun | A small firearm designed to be held in one hand.
piston | noun | A disc or cylinder moving within a tube as part of an engine.
pixel | noun | A minute area of illumination on a display screen.
placard | noun | A printed or handwritten sign for public display.
plaid | noun | Checkered or tartan twilled cloth.
plaintiff | noun | A person who brings a case against another in a court of law.
planet | noun | A celestial body moving in an elliptical orbit around a star.
plastered | adjective | Very drunk; covered in plaster.
playground | noun | An outdoor area for children to play in.
playlist | noun | A list of recorded songs or pieces to be played.
playmate | noun | A friend with whom a child plays.
playwright | noun | A person who writes plays.
plaza | noun | A public square or open space in a built-up area.
pliers | noun | Pincers with parallel flat jaws for gripping small objects.
plumber | noun | A person who fits and repairs pipes and fixtures.
plummet | verb | To fall or drop straight down at high speed.
plump | adjective | Having a full rounded shape.
plunger | noun | A part that moves up and down; a device for clearing blocked drains.
plywood | noun | Thin layers of wood glued together.
pneumatic | adjective | Containing or operated by air or gas under pressure.
pocketknife | noun | A knife with a folding blade.
podium | noun | A small platform on which a person may stand to be seen by an audience.
poker | noun | A card game played by betting on the value of hands; a fireplace rod.
polo | noun | A game played on horseback with mallets.
polyester | noun | A synthetic resin used to make fibers.
pooh | exclamation | Expressing impatience or contempt.
popcorn | noun | Corn kernels heated until they burst open.
poppy | noun | A plant with showy red flowers and a milky sap.
porridge | noun | A dish of oats boiled in water or milk.
porter | noun | A person employed to carry luggage; a dark brown beer.
possum | noun | An opossum; an Australian marsupial.
postcard | noun | A card for sending a message by mail without an envelope.
postman | noun | A man employed to deliver the mail.
posture | noun | The position in which someone holds their body.
potato | noun | A starchy plant tuber that is one of the most important food crops.
potpourri | noun | A mixture of dried petals and spices placed in a bowl to perfume a room.
potpourri | noun | A mixture of dried petals and spices; a mixture of things.
potty | adjective | Foolish; crazy (British); a child's chamber pot.
pounce | verb | To spring or swoop suddenly to catch something.
prairie | noun | A large open area of grassland.
preschool | noun | A nursery school.
preview | noun | An inspection or viewing of something before it is available to the public.
printer | noun | A machine for printing text or pictures.
privy | noun | An outdoor toilet.
probate | noun | The official proving of a will.
processor | noun | A machine that processes something; a central processing unit.
programmer | noun | A person who writes computer programs.
prom | noun | A formal dance at a high school; a promenade concert.
promotion | noun | Activity supporting a venture; the advancement of an employee's rank.
protein | noun | A nitrogenous organic compound essential to living organisms.
prune | noun | A plum preserved by drying.
psyched | adjective | Excited and full of anticipation.
psychiatry | noun | The study and treatment of mental illness.
psychology | noun | The scientific study of the human mind and behavior.
publicity | noun | Notice or attention given by the media.
pudding | noun | A cooked sweet dish served after the main course.
puddle | noun | A small pool of liquid, especially rainwater on the ground.
pulley | noun | A wheel with a grooved rim around which a cord passes, used to lift loads.
pumpkin | noun | A large rounded orange-yellow fruit.
punch | noun | A blow with the fist; a drink made with fruit juice and often alcohol.
punk | noun | A loud, fast rock music genre of the 1970s; a worthless person.
putter | verb | To occupy oneself in a desultory but pleasant manner.
python | noun | A large constricting snake.
quail | noun | A small short-tailed game bird; to feel fear.
quarry | noun | A place where stone is extracted; an animal being hunted.
quash | verb | To reject or void; to put an end to.
queer | adjective | Strange; odd (dated).
questionnaire | noun | A set of printed questions devised for a survey.
quilt | noun | A warm bed covering made of padding between layers of fabric.
quoth | verb | Said.
radiator | noun | A device for heating a room; an engine-cooling device.
radio | noun | The transmission of sound by electromagnetic waves.
radish | noun | A pungent red root eaten raw.
railroad | noun | A track made of steel rails for trains.
rainbow | noun | An arch of colors formed in the sky by refraction of sunlight.
ranch | noun | A large farm for raising livestock.
rancher | noun | A person who owns or runs a ranch.
rap | noun | A type of popular music in which words are recited rhythmically.
rapport | noun | A close and harmonious relationship.
rash | noun | An area of redness and spots on the skin; adjective: acting without careful thought.
ratings | noun | Estimated audience sizes of television or radio programs.
rattle | noun | A baby's toy that makes a rattling sound; verb: to make someone nervous.
rattled | adjective | Nervous, worried, or irritated.
raven | noun | A large heavily built crow with black plumage.
razor | noun | An instrument with a sharp blade used for shaving.
reactor | noun | An apparatus in which nuclear fission is sustained.
rebuff | verb | To reject someone or something in an abrupt or ungracious manner.
receipt | noun | A written acknowledgment of having received something.
receptionist | noun | A person who greets and deals with clients and visitors.
recess | noun | A break between sessions; a small space set back in a wall.
recession | noun | A period of temporary economic decline.
reckless | adjective | Heedless of danger or the consequences of one's actions.
recorder | noun | A simple woodwind instrument; a device for recording sound.
reef | noun | A ridge of jagged rock or coral just above or below the sea's surface.
refinery | noun | An industrial installation where a substance is refined.
regiment | noun | A permanent unit of an army.
relativity | noun | Einstein's theory of the relationship of space, time, and motion.
relish | noun | Great enjoyment; a condiment of chopped pickled vegetables.
remorse | noun | Deep regret or guilt for a wrong committed.
reporter | noun | A person who reports news.
resistor | noun | A device having resistance to the passage of electric current.
resume | noun | A summary of a person's education and employment.
retiree | noun | A person who has retired from work.
retriever | noun | A dog of a breed used for retrieving game.
reunion | noun | An instance of people coming together after a period of separation.
rhetoric | noun | The art of effective or persuasive speaking or writing.
rhyme | noun | Correspondence of sound between words or word endings.
riddle | noun | A question or statement intentionally phrased to require ingenuity to answer.
rifle | noun | A gun with a long rifled barrel; to search through something hurriedly.
rigging | noun | The system of ropes supporting a ship's masts and sails.
rivet | noun | A short metal pin for holding together two plates of metal.
robin | noun | A songbird with a red breast.
rocker | noun | A rocking chair; a rock musician or fan.
rocket | noun | A cylindrical projectile propelled to a great height; a salad green.
router | noun | A device that forwards data packets between computer networks.
ruby | noun | A precious stone of deep red.
rugged | adjective | Having a rocky and uneven surface; strongly built.
rum | noun | An alcoholic spirit distilled from sugarcane.
runway | noun | A strip of hard ground for aircraft to take off and land.
ruthless | adjective | Having or showing no pity or compassion for others.
sabbath | noun | A day of religious observance and abstinence from work.
saddle | noun | A seat fastened on the back of a horse.
sadness | noun | The condition or quality of being sad.
sage | noun | An aromatic herb; a profoundly wise person.
salesman | noun | A man whose job involves selling or promoting products.
salmon | noun | A large edible fish that migrates upstream to spawn.
salsa | noun | A type of Latin American dance music; a spicy sauce.
sandpaper | noun | Paper with sand or another abrasive stuck to it, used for smoothing.
sardine | noun | A young pilchard or similar small fish.
satellite | noun | A celestial body or artificial object orbiting a planet.
satin | noun | A smooth glossy fabric.
saucepan | noun | A deep cooking pan with a long handle and a lid.
sausage | noun | Minced meat enclosed in a casing.
scab | noun | A dry, rough protective crust over a healing wound; a strikebreaker.
scar | noun | A mark left on the skin after a wound has healed.
scarlet | adjective | Brilliant red color.
schoolbag | noun | A bag for carrying books and supplies to school.
schoolchild | noun | A child attending school.
scissors | noun | An instrument for cutting with two blades pivoted together.
scoff | verb | To speak about something in a scornfully derisive way; to eat greedily.
scoop | noun | A utensil for scooping; a piece of news published before rivals.
scooter | noun | A child's toy with a footboard and handlebar; a light motorcycle.
scotch | noun | Whisky distilled in Scotland.
scramble | verb | To make one's way quickly or awkwardly; to mix up.
scratch | noun | Money (slang); a mark or wound.
screwdriver | noun | A tool for turning screws; a cocktail of vodka and orange juice.
scribble | verb | To write or draw carelessly or hurriedly.
sculptor | noun | An artist who makes sculptures.
scuttle | verb | To sink one's own ship deliberately; to run hurriedly.
secretary | noun | A person employed to assist with correspondence and records.
sedan | noun | An enclosed chair carried on poles; a closed car.
semester | noun | A half-year term in a school or college.
semiconductor | noun | A solid substance with conductivity between an insulator and a metal.
sequel | noun | A published or broadcast work that continues the story of an earlier one.
sermon | noun | A talk on a religious or moral subject, especially during a church service.
server | noun | A person who serves; a computer that provides data to other computers.
setback | noun | A reversal or check in progress.
settler | noun | A person who settles in a new area.
shampoo | noun | A liquid preparation for washing the hair.
shareholder | noun | An owner of shares in a company.
shepherd | noun | A person who tends sheep.
shopkeeper | noun | The owner and manager of a shop.
shortcut | noun | An alternative route that is shorter than the one usually taken.
shorthand | noun | A method of rapid writing using abbreviations and symbols.
shotgun | noun | A smoothbore gun for firing small shot.
shovel | noun | A tool with a broad flat blade for moving earth or snow.
shrimp | noun | A small free-swimming crustacean; a small person.
sibling | noun | A brother or sister.
sieve | noun | A utensil with meshed netting for separating solids from liquids.
sightseeing | noun | Visiting places of interest.
sinus | noun | A cavity within a bone, especially one connecting with the nostrils.
siren | noun | A mythical creature whose singing lured sailors to their destruction; a warning device.
sirloin | noun | The choicer part of a loin of beef.
skeleton | noun | An internal or external framework of bone; a very thin person.
skillet | noun | A frying pan.
skirt | noun | A garment hanging from the waist; a woman (dated slang).
slippers | noun | Comfortable slip-on shoes worn indoors.
slogan | noun | A short and striking phrase used in advertising.
sloppy | adjective | Careless and unsystematic; wet or liquid.
slumber | noun | Sleep.
smelter | noun | An installation in which ore is smelted.
snail | noun | A mollusk with a single spiral shell.
snappy | adjective | Irritable; neat and elegant; quick.
sneeze | verb | To make a sudden involuntary expulsion of air from the nose and mouth.
snore | verb | To breathe with a snorting or grunting sound while asleep.
snowball | noun | A ball of packed snow; to increase rapidly.
snowflake | noun | A flake of snow; an overly sensitive person (slang).
sociology | noun | The study of society.
software | noun | The programs and other operating information used by a computer.
software | noun | The programs used by a computer.
soggy | adjective | Wet and soft.
solar | adjective | Relating to or determined by the sun.
solicitor | noun | A lawyer who advises clients and prepares legal documents (British).
sophomore | noun | A second-year student.
soprano | noun | The highest singing voice.
souvenir | noun | A thing kept as a reminder of a place, person, or event.
spaniel | noun | A dog of a breed with long silky coat and drooping ears.
sparrow | noun | A small brown and gray songbird.
spatula | noun | An implement with a broad, flat, blunt blade.
speculator | noun | A person who invests in stocks or property in the hope of gain.
spinach | noun | A plant with edible dark green leaves.
spleen | noun | An abdominal organ involved in the production and removal of blood cells; bad temper.
spoiler | noun | A description of a plot development that ruins surprise.
spokesman | noun | A person who makes statements on behalf of a group.
sponsor | noun | A person or organization that pays for an event in return for advertising.
spotlight | noun | A lamp projecting a narrow intense beam of light; public attention.
sprain | noun | A wrenching of a joint's ligaments.
sprocket | noun | Each of several projections on the rim of a wheel that engage with a chain.
squash | noun | A gourd eaten as a vegetable; a racket game; to crush.
squeegee | noun | A scraping implement with a rubber-edged blade.
squire | noun | A young nobleman acting as an attendant to a knight; a country gentleman.
stadium | noun | An athletic or sports ground with tiers of seats.
stagger | verb | To walk or move unsteadily; to astonish.
stakeholder | noun | A person with an interest or concern in something.
stapler | noun | A device for fastening papers together with staples.
starchy | adjective | Containing starch; stiff and formal.
startup | noun | A newly established business.
stationery | noun | Writing and other office materials.
stepladder | noun | A short folding ladder with flat steps.
stepmother | noun | A woman who is married to one's father after the divorce of one's parents or death of one's mother.
stockings | noun | Women's close-fitting garments covering the foot and leg.
stopwatch | noun | A special watch that can be started and stopped to time events.
storefront | noun | The side of a shop facing the street.
strainer | noun | A device having holes for separating solids from liquids.
streaming | noun | Transmitting audio or video continuously over the internet.
stroke | noun | A sudden disabling attack caused by interruption of blood flow to the brain.
stroller | noun | A pushchair; a person taking a leisurely walk.
stuffy | adjective | Lacking fresh air; conventional and narrow-minded.
stutter | verb | To talk with continued involuntary repetition of sounds.
suburb | noun | An outlying residential district of a city.
subway | noun | An underground railway.
succulent | noun | A plant with thick fleshy leaves adapted to store water.
suitcase | noun | A case with a handle for carrying clothes when traveling.
sunburn | noun | Inflammation of the skin caused by overexposure to the sun.
sunflower | noun | A tall plant with very large golden-rayed flowers.
superconductor | noun | A substance that conducts electricity without resistance at low temperatures.
supermarket | noun | A large self-service store selling foods and household goods.
supervisor | noun | A person who supervises a person or activity.
surgeon | noun | A medical practitioner qualified to practice surgery.
surveyor | noun | A person who surveys land.
swag | noun | Money or goods taken by a thief; promotional merchandise; stylish confidence.
swamp | noun | An area of waterlogged ground.
sweetheart | noun | A person with whom someone is having a romantic relationship.
swell | adjective | Excellent; very good (dated).
swimsuit | noun | A garment worn for swimming.
swing | noun | A style of jazz music popular in the 1930s and 1940s.
switchgear | noun | Switching equipment used in the transmission of electricity.
syllabus | noun | An outline of the subjects in a course of study.
tablecloth | noun | A cloth spread over a table.
tablet | noun | A small pill; a flat slab for inscriptions; a portable touchscreen computer.
tabloid | noun | A newspaper having pages half the size of a standard one, typically popular in style.
taboo | noun | A social or religious custom prohibiting a practice.
tanked | adjective | Drunk.
tarry | verb | To stay longer than intended; to delay leaving.
tavern | noun | An inn or pub.
tax | noun | A compulsory contribution to state revenue.
teacup | noun | A cup from which tea is drunk.
teapot | noun | A pot with a handle and spout, in which tea is brewed.
tearful | adjective | Crying or inclined to cry.
teaspoon | noun | A small spoon used for stirring hot drinks.
teddy | noun | A soft toy bear; a woman's all-in-one undergarment.
tedious | adjective | Too long, slow, or dull; tiresome.
teenager | noun | A person aged between 13 and 19.
teeny | adjective | Tiny.
teleconference | noun | A conference with participants in different locations linked by telecommunication.
tendon | noun | A flexible cord of fibrous tissue attaching muscle to bone.
tent | noun | A portable shelter made of cloth supported by poles.
terabyte | noun | A unit of information equal to one trillion bytes.
terrier | noun | A small dog of a breed originally used for turning out foxes.
testimony | noun | A formal written or spoken statement given in a court of law.
texting | noun | The sending of text messages.
thanksgiving | noun | The expression of gratitude; a national holiday in North America.
thaw | verb | To melt or become liquid after being frozen.
thermometer | noun | An instrument for measuring temperature.
thermos | noun | A trademarked vacuum flask.
thief | noun | A person who steals another person's property.
thingy | noun | A thing whose name one has forgotten or does not know.
thither | adverb | To or toward that place.
thumbnail | noun | The nail of the thumb; a small image.
thunderstorm | noun | A storm with thunder and lightning.
tickle | verb | To lightly touch someone in a way that causes laughter.
timeline | noun | A graphic representation of the passage of time.
titan | noun | A member of a family of giant gods; a person of great strength or importance.
titanic | adjective | Of exceptional strength, size, or power.
tittle | noun | A tiny amount or part of something.
toad | noun | A tailless amphibian with dry warty skin.
toaster | noun | An electrical device for making toast.
toddler | noun | A young child who is just beginning to walk.
toenail | noun | The nail at the tip of each toe.
tomato | noun | A glossy red fruit eaten as a vegetable.
tonsils | noun | Small masses of lymphoid tissue in the throat.
toolbar | noun | A strip of icons used to perform certain functions on a computer.
toothache | noun | Pain in a tooth or teeth.
toothbrush | noun | A small brush for cleaning the teeth.
touchy | adjective | Oversensitive and irritable.
tourism | noun | The commercial organization of holidays and visits to places of interest.
tourist | noun | A person who travels for pleasure.
tractor | noun | A powerful motor vehicle for pulling farm equipment.
trademark | noun | A symbol or word legally registered to represent a company or product.
tragedy | noun | An event causing great suffering; a play dealing with tragic events.
trailer | noun | An unpowered vehicle towed by another; a preview of a film.
tramp | noun | A person who travels from place to place on foot as a vagrant.
transformer | noun | An apparatus for reducing or increasing the voltage of an alternating current.
translator | noun | A person who translates from one language into another.
transmitter | noun | A set of equipment used to generate and transmit radio waves.
treasury | noun | The funds or revenue of a state or organization.
trekking | noun | Going on a long arduous journey on foot.
trifle | noun | A dessert of sponge cake, fruit, custard, and cream; a thing of little value.
trivia | noun | Details or information of little importance.
trolley | noun | A cart; a streetcar.
trout | noun | A food and game fish of the salmon family.
trowel | noun | A small hand tool with a flat blade for spreading mortar or digging.
tuba | noun | A large brass wind instrument of bass pitch.
tummy | noun | A person's stomach or abdomen.
tuna | noun | A large edible fish of warm seas.
turbine | noun | A machine for producing power in which a wheel is turned by moving fluid.
turbocharger | noun | A supercharger driven by a turbine powered by engine exhaust.
turkey | noun | A large game bird; a failure (informal).
turmoil | noun | A state of great disturbance, confusion, or uncertainty.
turnip | noun | A round root with white or cream flesh, eaten as a vegetable.
turnover | noun | A pastry with a folded filling; the amount of money a business takes.
tutor | noun | A private teacher.
twain | noun | Two.
tweet | noun | A chirping sound; a post on Twitter.
tweezers | noun | A small instrument like a pair of pincers for plucking hairs.
twilight | noun | The soft glowing light from the sky when the sun is below the horizon.
twinkle | verb | To shine with a gleam that changes constantly from bright to faint.
twins | noun | Two children or animals born at the same birth.
twitter | noun | A series of short high-pitched sounds; a social media platform.
typewritten | adjective | Written using a typewriter.
typist | noun | A person skilled in using a typewriter.
tyrant | noun | A cruel and oppressive ruler.
ulcer | noun | An open sore on the body.
umbrella | noun | A device for protection against rain, with a collapsible canopy.
undershirt | noun | An undergarment worn under a shirt.
unemployment | noun | The state of being without paid work.
upheaval | noun | A violent or sudden change or disruption.
upholstery | noun | Soft padding and fabric covering furniture.
upload | verb | To transfer data to a larger computer system or the internet.
username | noun | An identification used by a person with access to a computer network.
vacation | noun | An extended period of recreation away from home.
vacuum | noun | A space devoid of matter; a vacuum cleaner.
vanity | noun | Excessive pride in one's appearance; a dressing table.
vase | noun | A decorative container used as an ornament or for displaying flowers.
velvet | noun | A closely woven fabric with a thick short pile on one side.
veneer | noun | A thin decorative covering of fine wood; an attractive appearance covering something lesser.
venus | noun | Part of "Venus flytrap": a carnivorous plant.
verdict | noun | A decision on an issue of fact in a civil or criminal case.
verily | adverb | Truly; certainly.
vessel | noun | A ship or large boat; a hollow container.
villain | noun | A person guilty of or capable of a crime or wickedness.
vinyl | noun | Synthetic resin or plastic; phonograph records collectively.
viola | noun | An instrument of the violin family, larger than a violin.
violet | noun | A small plant with purple flowers; a bluish-purple color.
